,Organisation,PageLink
41,Free Software Foundation Tamil Nadu,/wiki/Free_Software_Foundation_Tamil_Nadu
42,Free Software Movement of Karnataka,/wiki/Free_Software_Movement_of_Karnataka
43,Friends of Tribals Society,/wiki/Friends_of_Tribals_Society
44,Friends2support,/wiki/Friends2support
45,Gender and Trade Initiative,/wiki/Gender_and_Trade_Initiative
46,GiveIndia,/wiki/GiveIndia
47,Going to School,/wiki/Going_to_School
48,GoSports Foundation,/wiki/GoSports_Foundation
49,Gram Vikas,/wiki/Gram_Vikas
50,Greenvein,/wiki/Greenvein
51,Gujarat Vidhya Sabha,/wiki/Gujarat_Vidhya_Sabha
52,Gujarati Sahitya Parishad,/wiki/Gujarati_Sahitya_Parishad
53,Haji Public School,/wiki/Haji_Public_School
54,Harijan Sevak Sangh,/wiki/Harijan_Sevak_Sangh
55,HelpAge India,/wiki/HelpAge_India
56,Helpingminds,/wiki/Helpingminds
57,Hitkarini Sabha,/wiki/Hitkarini_Sabha
58,ICT Academy of Tamil Nadu,/wiki/ICT_Academy_of_Tamil_Nadu
59,Immagine,/wiki/Immagine
60,India Foundation for the Arts,/wiki/India_Foundation_for_the_Arts
61,Indiability Foundation,/wiki/Indiability_Foundation
62,Indian Cancer Society,/wiki/Indian_Cancer_Society
63,Indian Liberal Group,/wiki/Indian_Liberal_Group
64,Indus Trust,/wiki/Indus_Trust
65,Interactive Forum on Indian Economy,/wiki/Interactive_Forum_on_Indian_Economy
66,International Resources for Fairer Trade,/wiki/International_Resources_for_Fairer_Trade
67,Isha Foundation,/wiki/Isha_Foundation
68,Janaagraha,/wiki/Janaagraha
69,"Kaliyuva Mane School, Mysore","/wiki/Kaliyuva_Mane_School,_Mysore"
70,Kalvialaya,/wiki/Kalvialaya
71,Kamal Kumari Foundation,/wiki/Kamal_Kumari_Foundation
72,Kannada Sahitya Parishat,/wiki/Kannada_Sahitya_Parishat
73,Kerala Brahmana Sabha,/wiki/Kerala_Brahmana_Sabha
74,Kerala Sahitya Akademi,/wiki/Kerala_Sahitya_Akademi
75,Kerala Sasthra Sahithya Parishad,/wiki/Kerala_Sasthra_Sahithya_Parishad
76,Khel Khel Mein Foundation,/wiki/Khel_Khel_Mein_Foundation
77,Kherwadi Social Welfare Association,/wiki/Kherwadi_Social_Welfare_Association
78,Kheti Virasat Mission,/wiki/Kheti_Virasat_Mission
79,Kunpan Cultural School,/wiki/Kunpan_Cultural_School
80,Kutumb Foundation,/wiki/Kutumb_Foundation
81,Kyun Ki Shahar Hai Aapka,/wiki/Kyun_Ki_Shahar_Hai_Aapka
82,Lok Satta Movement,/wiki/Lok_Satta_Movement
83,Mahratta Education Fund,/wiki/Mahratta_Education_Fund
84,Make Love Not Scars,/wiki/Make_Love_Not_Scars
85,Malcha Kalyan Samiti,/wiki/Malcha_Kalyan_Samiti
86,Maximising Employment to Serve the Handicapped,/wiki/Maximising_Employment_to_Serve_the_Handicapped
87,Micro Tech Global Foundation,/wiki/Micro_Tech_Global_Foundation
88,MigrantWatch,/wiki/MigrantWatch
89,Mind Champions Academy,/wiki/Mind_Champions_Academy
90,MissingGirls,/wiki/MissingGirls
91,Mizoram College Teachers' Association,/wiki/Mizoram_College_Teachers%27_Association
92,Moinee Foundation,/wiki/Moinee_Foundation
93,MS Swaminathan Research Foundation,/wiki/MS_Swaminathan_Research_Foundation
94,MTHR Global,/wiki/MTHR_Global
95,NASSCOM,/wiki/NASSCOM
96,National Institute for Smart Government,/wiki/National_Institute_for_Smart_Government
97,National Institute of Speech and Hearing,/wiki/National_Institute_of_Speech_and_Hearing
98,National Skill Development Corporation,/wiki/National_Skill_Development_Corporation
99,Nature Conservation Foundation,/wiki/Nature_Conservation_Foundation
100,Natyoshala,/wiki/Natyoshala
101,Navsarjan Trust,/wiki/Navsarjan_Trust
102,New Life College at Bangalore,/wiki/New_Life_College_at_Bangalore
103,Nimmagadda Foundation,/wiki/Nimmagadda_Foundation
104,Northwest College for Advanced Learning,/wiki/Northwest_College_for_Advanced_Learning
105,National Resource Centre for Free/Open Source Software,/wiki/National_Resource_Centre_for_Free/Open_Source_Software
106,Nudge Foundation,/wiki/Nudge_Foundation
107,Odanadi Seva Trust,/wiki/Odanadi_Seva_Trust
108,Olympic Gold Quest,/wiki/Olympic_Gold_Quest
109,Oneness organisation,/wiki/Oneness_organisation
110,Onyx E-cell,/wiki/Onyx_E-cell
111,Our Children Foundation,/wiki/Our_Children_Foundation
112,Palluruthy Relief Settlement,/wiki/Palluruthy_Relief_Settlement
113,Panchkula Welfare Trust,/wiki/Panchkula_Welfare_Trust
114,Parinamika,/wiki/Parinamika
115,PHDCCI-Rajasthan,/wiki/PHDCCI-Rajasthan
116,PILSARC,/wiki/PILSARC
117,PlanetRead,/wiki/PlanetRead
118,Pondicherry Science Forum,/wiki/Pondicherry_Science_Forum
119,Prajwala,/wiki/Prajwala
120,Prathama Blood Centre,/wiki/Prathama_Blood_Centre
121,Prime Point Foundation,/wiki/Prime_Point_Foundation
122,PRS Legislative Research,/wiki/PRS_Legislative_Research
123,Pune District Education Association,/wiki/Pune_District_Education_Association
124,RAHI Foundation,/wiki/RAHI_Foundation
125,Rashtriya Life Saving Society (India),/wiki/Rashtriya_Life_Saving_Society_(India)
126,Read India,/wiki/Read_India
127,Rehabilitation Council of India,/wiki/Rehabilitation_Council_of_India
128,Rehwa Society,/wiki/Rehwa_Society
129,Non-profit laws of India,/wiki/Non-profit_laws_of_India
130,Robin Hood Army,/wiki/Robin_Hood_Army
131,Sálim Ali Centre for Ornithology and Natural History,/wiki/S%C3%A1lim_Ali_Centre_for_Ornithology_and_Natural_History
132,Samata (NGO),/wiki/Samata_(NGO)
133,Sambhali Trust,/wiki/Sambhali_Trust
134,Sampark Foundation,/wiki/Sampark_Foundation
135,Sanatan Sangeet Sanskriti,/wiki/Sanatan_Sangeet_Sanskriti
136,Sanket Trust,/wiki/Sanket_Trust
137,Sarathi Socio Cultural Trust,/wiki/Sarathi_Socio_Cultural_Trust
138,Sarvodaya Sanskrit Ashram,/wiki/Sarvodaya_Sanskrit_Ashram
139,Save the Children India,/wiki/Save_the_Children_India
140,Sawan Kirpal Ruhani Mission,/wiki/Sawan_Kirpal_Ruhani_Mission
141,Schools of Equality,/wiki/Schools_of_Equality
142,Serudsngo,/wiki/Serudsngo
143,Servants of the People Society,/wiki/Servants_of_the_People_Society
144,Sevalaya,/wiki/Sevalaya
145,Shanti Bhavan,/wiki/Shanti_Bhavan
146,Shantmanas,/wiki/Shantmanas
147,Sherab Gatsel Lobling School,/wiki/Sherab_Gatsel_Lobling_School
148,Shiksha (NGO),/wiki/Shiksha_(NGO)
149,Shoshit Seva Sangh,/wiki/Shoshit_Seva_Sangh
150,Shraddha Rehabilitation Foundation,/wiki/Shraddha_Rehabilitation_Foundation
151,Shram Sadhana Trust,/wiki/Shram_Sadhana_Trust
152,Shramik Bharti,/wiki/Shramik_Bharti
153,Shri Ram Chandra Mission,/wiki/Shri_Ram_Chandra_Mission
154,Simply Blood,/wiki/Simply_Blood
155,Sivamathiyin Jeevayoga Jothimayam,/wiki/Sivamathiyin_Jeevayoga_Jothimayam
156,"Societies Registration Act, 1860","/wiki/Societies_Registration_Act,_1860"
157,South Asia Analysis Group,/wiki/South_Asia_Analysis_Group
158,South Asian Management Technologies Foundation,/wiki/South_Asian_Management_Technologies_Foundation
159,South Indian Federation of Fishermen Societies,/wiki/South_Indian_Federation_of_Fishermen_Societies
160,Southern Indian Chamber of Commerce and Industry,/wiki/Southern_Indian_Chamber_of_Commerce_and_Industry
161,SPIC MACAY,/wiki/SPIC_MACAY
162,Sree Pushpakabrahmana Seva Sangham,/wiki/Sree_Pushpakabrahmana_Seva_Sangham
163,Srujanika,/wiki/Srujanika
164,Startup Village,/wiki/Startup_Village
165,The Stenographers' Guild,/wiki/The_Stenographers%27_Guild
166,Sugam Vedashram,/wiki/Sugam_Vedashram
167,Swecha,/wiki/Swecha
168,Systems Research Institute (India),/wiki/Systems_Research_Institute_(India)
169,Tamil Nadu Technology Development and Promotion Centre,/wiki/Tamil_Nadu_Technology_Development_and_Promotion_Centre
170,Teach For India,/wiki/Teach_For_India
171,The Southern India Mills Association,/wiki/The_Southern_India_Mills_Association
172,Tibetan Nuns Project,/wiki/Tibetan_Nuns_Project
173,TiE Rajasthan,/wiki/TiE_Rajasthan
174,Vandrevala Foundation,/wiki/Vandrevala_Foundation
175,Vigil India Movement,/wiki/Vigil_India_Movement
176,Vijnana Bharati,/wiki/Vijnana_Bharati
177,Vikalp,/wiki/Vikalp
178,Vote India,/wiki/Vote_India
179,Wildlife SOS,/wiki/Wildlife_SOS
180,Workers Development Union,/wiki/Workers_Development_Union
181,Xomidhan,/wiki/Xomidhan
182,The Yoga Institute,/wiki/The_Yoga_Institute
183,The Youth Parliament,/wiki/The_Youth_Parliament
184,Youth United,/wiki/Youth_United
